Carroll, Glenn
Carroll, James
Carroll, Jeremy J.
ERROR
Carroll, Steven
Carson-Berndsen, Julie
Carter, Alan W.
Carter, David M.
Carter, Richard
Carterette, Ben
Carthy, Joe
Cartier, Emmanuel
Cartwright, Timothy A.
ERROR
Caruana, Rich
Carvalho, Paula
Carvalho, Vitor R.
Carvey, Hannah
Casacuberta, Francisco
Casajuana, R.
Casas, Bernardino
Caseli, Helena M.
Caselli, Tommaso
Casillas, Arantza
Caspar, Rachel
Casper, Mark
Caspers, Johanneke
Cassano, Giulia
Cassel, David
Cassell, Justine
Castanet, Richard
Castano, Jose M.
Castelfranchi, Cristiano
Castellanos, A.
Castelli, Margherita
ERROR
Castells, Pablo
Castillo, Carlos
Castillo, Mauro
Castrogiovanni, P.
Catala, Dolors
Catala, Neus
Catarsi, M. N.
Cater, Arthur
Cathcart, Nicola
Catizone, Roberta
ERROR
Caucci, Gina
Caudal, Patrick
Cavaglia, Gabriela
Cavalli-Sforza, Violetta
Cavallotto, Nico
ERROR
Cavazza, Marc
Cavedon, Lawrence
Cavestro, Bruno
Cawsey, Alison
Caywood, Matthew
ERROR
Cech, Claude G.
Cederberg, Scott
Celce Murica, Marianne
Celebi, Arda
Celik, Emine
Cellio, Monica J.
Cencioni, Roberto
Cepen, Stephan
Ceplova, Marketa
Cer, Daniel
Cerbah, Farid
Cercone, Nick
Ceroni, Alessio
Cerrato Pargman, Teresa
Cerri, Stefano A.
Cesar, Christian
Cetinoglu, Ozlem
Cettolo, Mauro
Cevasco, Virginia
Ceylan, Hakan
Cha, Jeongwon
Cha, Seungho
Chae, Young-Soog
Chafe, Wallace L.
ERROR
Chaitanya, Vineet
Chaiwanarom, Paweena
Chakrabarti, Soumen
Chakravarthy, Anil S.
Chalatip, Thumkanon
Chali, Yllias
Chalup, Stephan
Chambers, Nathanael
Chan, Chiu-Ki
Chan, Chorkin
Chan, Daniel Ka-Leung
Chan, Dennis
Chan, Erwin
Chan, G. K. K.
Chan, Hayward H.
Chan, Hilary
Chan, Kin-Wah
Chan, Nam-Kiu
Chan, Rosita
Chan, Samuel W. K.
Chan, Shiu Tong
Chan, Shui-Duen
Chan, Syin
Chan, Terence Y. W.
Chan, Yee Seng
Chan, Yu-Chung
Chandler, Brian J.
Chandrasekar, Raman
Chandrasekaran, B.
Chanev, Atanas
Chang, Andrew
ERROR
Chang, Chao-Huang
Chang, Conrad
Chang, Echa
Chang, Jason S.
Chang, Jeong-Ho
Chang, Jing-Shin
Chang, Jonathan
Chang, Jyun-Sheng
Chang, Li-Li
Chang, Ming-Wei
Chang, Moon-Soo
Chang, Nancy
ERROR
Chang, Ru-Charn
Chang, Ru-Yng
Chang, Shih-Fu
Chang, Sueming
Chang, Yu-Chia
Chanlekha, Hutchatai
Channarukul, Songsak
Chanod, Jean-Pierre
Chao, Chih-Yu
Chao, Gerald
Chapin, Paul G.
Chapman, David
Chapman, Wendy
Chappell, Alan
ERROR
Charfuelan, Marcela
Charniak, Eugene
Charnois, Thierry
Charocopos, Nicholas
Charoenporn, Thatsanee
Charoenpornsawat, Paisarn
Chase, Greg
Chase, Penny
Chatain, Pierre
Chatelin, P.
Chatterjee, Niladri
Chatzichrisafis, Nikos
Chauche, J.
Chaudhary, Mark
ERROR
Chaumartin, Francois-Regis
Chavarria, Sandra
Chavez, Hector
Che, C.
Che, Wanxiang
Chee, Brant
Cheikes, Brant A.
Chelba, Ciprian
Chen, Aitao
Chen, Benfeng
Chen, Benjamin L.
Chen, Berlin
Chen, Bo
Chen, Boxing
Chen, Chao-Jan
Chen, Cheng-Der
Chen, Chia-Yin
Chen, Chun
Chen, Conrad
Chen, Dongdong
Chen, Erdong
Chen, Feng-Yi
ERROR
Chen, Francine R.
Chen, G.
Chen, Hongbiao
Chen, Hsin-Hsi
Chen, Huey-Chyun
Chen, J. N.
Chen, Jack
Chen, Jen Nan
Chen, Jiajun
Chen, Jiang
Chen, Jinxiu
Chen, Jinying
Chen, John
Chen, Kaijiang
Chen, Kang
Chen, Keh-Jiann
Chen, Ken
Chen, Kuang-Hua
Chen, Kuang-Yu
Chen, Langzhou
Chen, Lei
Chen, Liang
Chen, Mathis H.
Chen, Ming-Jun
Chen, Qing
Chen, Stanley F.
Chen, Tung-Tse
Chen, Wan
Chen, Wenliang
Chen, XiXian
Chen, Yi
Chen, Yi-Chun
Chen, Yi-Jun
Chen, Ying
Chen, Ying-Ju
Chen, Yu
Chen, Yu-Quan
Chen, Yudong
ERROR
Chen, Zheng
Chen-Main, Joan
Cheng, Chin-Chuan
Cheng, Hua
Cheng, Pu-Jen
Cheng, Shun-Der
ERROR
Cheng, Ying
Cheng, Yuchang
Cherny, Lynn
Cherry, Colin
Chester, Daniel
Chet, S.
ERROR
Cheung, Chi-Shun
ERROR
Cheung, Lawrence Y. L.
Cheung, Percy
Chevalier, Haakon
Chew, Peter A.
Cheyer, A.
Chi, David N.
Chi, Zhiyi
Chia, Ching-Yi
Chia, Tee Kiah
Chiang, David
Chiang, Tung-Hui
Chiao, Yun-Chuang
Chiarcos, Christian
Chibout, Karim
Chichester, Christine
Chickering, Max
Chidambaram, Deepthi
Chien, Arnold J.
Chien, Lee-Feng
Chien, Y. T.
Chieu, Hai Leong
Chigier, Benjamin
Chik, Francis C. Y.
Chikayama, Takashi
Childers, D. G.
Childs, Lois C.
Chin, Andy C.
Chin, David N.
Chinchor, Nancy A.
Chinosi, Michele
Chiocchetti, Elena
Chiou, Chuei-Feng
Chiou, Fu-Dong
Chipman, Susan
ERROR
Chisholm, Michael A.
Chitrao, Mahesh V.
Chiu, Andy
Chiu, Chih-Ming
Chiu, T. S.
Chizeck, Howard
Chklovski, Timothy
Chmora, Elena M.
Cho, Chun-Hung
Cho, Hyung Joon
Cho, Jeong-Mi
Cho, Yongjoo
ERROR
Choi, Freddy Y. Y.
Choi, Jeung-Yoon
Choi, John
Choi, Key-Sun
Choi, Misook
Choi, Sung-Kwon
Choi, Won Seug
Choi, Yejin
Choma, Travis
Chomjakov, M. V.
Chotimongkol, Ananlada
Chou, George
Chou, Lin-Yi
Chou, Wen-Chi
Chou, Ya-Min
Choudhury, Monojit
Chouraqui, Eugene
Chow, Edmond
Chow, Ka-Po
Chow, Yen-Lu
Christensen, Lee
Christodoulakis, Dimitris N.
Christoudias, C. Mario
ERROR
Chrz, Tomas
Chrzanowski, Michael J.
Chu, David
ERROR
Chu, Selina
Chu, Sharon
Chu-Carroll, Jennifer
Chua, Tat-Seng
Chuang, Thomas C.
Chugur, Irina
Chui, Ka-Wai
Chung, Euisok
ERROR
Chung, Hee Sung
Chung, Hoojung
Chung, K. F. L.
Chung, Minhwa
Chung, Moonkyung
